id,text,subject,length,complexity,demand,price,keywords
24,dynamic programming example show steps show steps,cs,7,2.64,1.3,195.43,"dynamic,programming,example,show,steps"
25,periodic trends question with example solve step by step,chemistry,9,0.69,0.54,84.38,"periodic,trends,question,with,example,solve,step"
26,mechanics motion problem,physics,3,2.62,0.62,160.75,"mechanics,motion,problem"
27,geometry theorems proof,math,3,2.04,1.06,148.91,"geometry,theorems,proof"
28,quantum basics question with example show steps,physics,7,2.92,0.88,189.54,"quantum,basics,question,with,example,show,steps"
29,sorting algorithm explanation with example,cs,5,3.09,0.61,199.77,"sorting,algorithm,explanation,with,example"
30,calculus integral problem show steps,math,5,2.9,0.72,183.23,"calculus,integral,problem,show,steps"
31,dynamic programming example explain,cs,4,1.89,2.25,159.01,"dynamic,programming,example,explain"
32,calculus integral problem detailed explanation detailed explanation,math,7,3.41,2.35,258.47,"calculus,integral,problem,detailed,explanation"
33,electric circuits problem with example,physics,5,3.09,2.3,223.79,"electric,circuits,problem,with,example"
34,differential equations solve detailed explanation,math,5,2.86,1.07,198.33,"differential,equations,solve,detailed,explanation"
35,dynamic programming example,cs,3,1.39,2.44,145.88,"dynamic,programming,example"
36,geometry theorems proof,math,3,0.65,1.45,95.89,"geometry,theorems,proof"
37,mechanics motion problem explain explain,physics,5,2.29,1.85,176.2,"mechanics,motion,problem,explain"
38,linear algebra matrix,math,3,2.24,0.58,141.24,"linear,algebra,matrix"
39,chemical bonding explanation,chemistry,3,2.51,1.13,169.41,"chemical,bonding,explanation"
40,thermodynamics law application solve step by step,physics,7,2.76,0.65,184.17,"thermodynamics,law,application,solve,step"
41,calculus integral problem solve step by step solve step by step,math,11,3.3,2.26,259.79,"calculus,integral,problem,solve,step"
42,chemical bonding explanation,chemistry,3,1.81,1.59,144.35,"chemical,bonding,explanation"
43,linear algebra matrix detailed explanation,math,5,0.81,2.26,110.99,"linear,algebra,matrix,detailed,explanation"
44,linear algebra matrix,math,3,1.32,1.71,130.55,"linear,algebra,matrix"
45,thermodynamics law application with example detailed explanation,physics,7,3.04,0.68,198.07,"thermodynamics,law,application,with,example,detailed,explanation"
46,organic reaction mechanism,chemistry,3,1.5,0.76,125.8,"organic,reaction,mechanism"
47,electric circuits problem show steps with example,physics,7,0.84,2.39,127.62,"electric,circuits,problem,show,steps,with,example"
48,quantum basics question,physics,3,3.0,1.67,202.36,"quantum,basics,question"
49,mechanics motion problem solve step by step,physics,7,3.3,2.44,238.6,"mechanics,motion,problem,solve,step"
50,stoichiometry titration problem solve step by step explain,chemistry,8,2.84,2.27,221.53,"stoichiometry,titration,problem,solve,step,explain"
51,optics refraction question,physics,3,3.43,2.12,247.53,"optics,refraction,question"
52,algebra equation solving detailed explanation show steps,math,7,1.74,1.84,162.5,"algebra,equation,solving,detailed,explanation,show,steps"
53,thermodynamics law application,physics,3,2.86,0.72,190.84,"thermodynamics,law,application"
54,dynamic programming example,cs,3,2.95,1.42,198.0,"dynamic,programming,example"
55,optics refraction question,physics,3,2.48,1.3,171.57,"optics,refraction,question"
56,geometry theorems proof show steps,math,5,1.7,2.46,164.92,"geometry,theorems,proof,show,steps"
57,calculus integral problem explain,math,4,3.39,1.03,210.27,"calculus,integral,problem,explain"
58,sorting algorithm explanation show steps with example,cs,7,3.45,0.73,229.09,"sorting,algorithm,explanation,show,steps,with,example"
59,thermodynamics law application,physics,3,2.63,0.5,176.01,"thermodynamics,law,application"
60,thermodynamics law application explain,physics,4,2.49,1.16,171.98,"thermodynamics,law,application,explain"
61,geometry theorems proof solve step by step with example,math,9,1.71,1.09,137.85,"geometry,theorems,proof,solve,step,with,example"
62,recursion tree problem show steps explain,cs,6,2.21,1.31,175.37,"recursion,tree,problem,show,steps,explain"
63,chemical bonding explanation,chemistry,3,1.79,1.66,151.79,"chemical,bonding,explanation"
64,recursion tree problem show steps,cs,5,2.03,2.09,182.5,"recursion,tree,problem,show,steps"
65,mechanics motion problem with example,physics,5,2.4,1.17,179.77,"mechanics,motion,problem,with,example"
66,thermodynamics law application,physics,3,2.92,0.79,178.72,"thermodynamics,law,application"
67,data structures stack queue,cs,4,1.87,2.27,168.41,"data,structures,stack,queue"
68,recursion tree problem solve step by step,cs,7,2.47,0.51,172.72,"recursion,tree,problem,solve,step"
69,differential equations solve,math,3,1.03,2.42,126.26,"differential,equations,solve"
70,linear algebra matrix,math,3,3.25,0.74,195.97,"linear,algebra,matrix"
71,data structures stack queue with example detailed explanation,cs,8,3.17,1.73,233.49,"data,structures,stack,queue,with,example,detailed,explanation"
72,data structures stack queue detailed explanation,cs,6,2.73,1.45,192.68,"data,structures,stack,queue,detailed,explanation"
73,thermodynamics law application with example solve step by step,physics,9,1.82,1.93,162.29,"thermodynamics,law,application,with,example,solve,step"
74,chemical bonding explanation explain explain,chemistry,5,1.65,0.81,122.98,"chemical,bonding,explanation,explain"
75,recursion tree problem with example,cs,5,1.75,0.91,134.1,"recursion,tree,problem,with,example"
76,linear algebra matrix with example,math,5,3.33,1.1,216.3,"linear,algebra,matrix,with,example"
77,data structures stack queue show steps show steps,cs,8,3.19,1.48,220.56,"data,structures,stack,queue,show,steps"
78,graph theory shortest path solve step by step,cs,8,2.54,1.31,182.5,"graph,theory,shortest,path,solve,step"
79,dynamic programming example with example detailed explanation,cs,7,2.28,1.83,176.28,"dynamic,programming,example,with,detailed,explanation"
80,dynamic programming example explain,cs,4,1.28,1.15,114.09,"dynamic,programming,example,explain"
81,periodic trends question show steps,chemistry,5,3.0,1.0,191.64,"periodic,trends,question,show,steps"
82,linear algebra matrix,math,3,3.5,1.2,228.0,"linear,algebra,matrix"
83,calculus integral problem,math,3,1.1,0.54,84.85,"calculus,integral,problem"
84,electric circuits problem explain detailed explanation,physics,6,1.9,1.01,144.58,"electric,circuits,problem,explain,detailed,explanation"
85,algebra equation solving explain,math,4,0.58,1.12,82.95,"algebra,equation,solving,explain"
86,recursion tree problem explain with example,cs,6,2.99,0.99,205.24,"recursion,tree,problem,explain,with,example"
87,acid base titration,chemistry,3,2.89,1.63,193.92,"acid,base,titration"
88,sorting algorithm explanation,cs,3,2.02,1.18,157.59,"sorting,algorithm,explanation"
89,graph theory shortest path detailed explanation,cs,6,2.41,2.16,199.85,"graph,theory,shortest,path,detailed,explanation"
90,dynamic programming example with example show steps,cs,7,2.35,2.34,203.79,"dynamic,programming,example,with,show,steps"
91,recursion tree problem with example solve step by step,cs,9,1.24,2.37,142.98,"recursion,tree,problem,with,example,solve,step"
92,dynamic programming example with example,cs,5,2.5,1.17,178.29,"dynamic,programming,example,with"
93,stoichiometry titration problem solve step by step,chemistry,7,2.89,1.18,209.71,"stoichiometry,titration,problem,solve,step"
94,acid base titration,chemistry,3,2.05,0.88,140.93,"acid,base,titration"
95,recursion tree problem show steps show steps,cs,7,2.44,1.48,191.46,"recursion,tree,problem,show,steps"
96,geometry theorems proof,math,3,1.71,0.99,134.58,"geometry,theorems,proof"
97,periodic trends question with example with example,chemistry,7,2.74,1.16,198.26,"periodic,trends,question,with,example"
98,chemical bonding explanation solve step by step,chemistry,7,2.66,1.13,194.46,"chemical,bonding,explanation,solve,step"
99,optics refraction question,physics,3,2.72,1.05,184.79,"optics,refraction,question"
100,organic reaction mechanism,chemistry,3,1.39,1.22,115.95,"organic,reaction,mechanism"
101,thermodynamics law application,physics,3,3.42,1.61,233.15,"thermodynamics,law,application"
102,electric circuits problem,physics,3,3.12,1.65,214.39,"electric,circuits,problem"
103,sorting algorithm explanation,cs,3,3.4,1.0,223.23,"sorting,algorithm,explanation"
104,calculus integral problem with example,math,5,2.23,1.87,171.93,"calculus,integral,problem,with,example"
105,organic reaction mechanism,chemistry,3,0.86,2.03,111.73,"organic,reaction,mechanism"
106,quantum basics question with example,physics,5,1.83,2.22,175.7,"quantum,basics,question,with,example"
107,acid base titration explain detailed explanation,chemistry,6,0.8,2.03,115.11,"acid,base,titration,explain,detailed,explanation"
108,organic reaction mechanism,chemistry,3,1.22,1.6,112.13,"organic,reaction,mechanism"
109,recursion tree problem with example solve step by step,cs,9,1.19,1.91,139.76,"recursion,tree,problem,with,example,solve,step"
110,graph theory shortest path solve step by step solve step by step,cs,12,2.87,1.68,227.18,"graph,theory,shortest,path,solve,step"
111,electric circuits problem,physics,3,2.13,1.8,176.67,"electric,circuits,problem"
112,mechanics motion problem,physics,3,1.0,1.12,103.38,"mechanics,motion,problem"
113,periodic trends question,chemistry,3,1.91,1.11,141.75,"periodic,trends,question"
114,acid base titration with example explain,chemistry,6,0.62,1.36,86.65,"acid,base,titration,with,example,explain"
115,organic reaction mechanism,chemistry,3,1.19,1.85,129.71,"organic,reaction,mechanism"
116,geometry theorems proof explain show steps,math,6,1.91,1.8,171.82,"geometry,theorems,proof,explain,show,steps"
117,quantum basics question show steps,physics,5,1.98,0.68,139.56,"quantum,basics,question,show,steps"
118,chemical bonding explanation explain explain,chemistry,5,1.73,1.49,149.55,"chemical,bonding,explanation,explain"
119,data structures stack queue,cs,4,1.86,1.13,140.07,"data,structures,stack,queue"
120,data structures stack queue,cs,4,2.47,1.59,181.56,"data,structures,stack,queue"
121,quantum basics question show steps,physics,5,2.0,1.38,148.63,"quantum,basics,question,show,steps"
122,acid base titration,chemistry,3,3.28,1.38,221.57,"acid,base,titration"
123,calculus integral problem show steps solve step by step,math,9,0.98,1.6,120.05,"calculus,integral,problem,show,steps,solve,step"
124,algebra equation solving,math,3,1.88,0.73,141.24,"algebra,equation,solving"
125,sorting algorithm explanation show steps with example,cs,7,1.95,1.44,159.44,"sorting,algorithm,explanation,show,steps,with,example"
126,electric circuits problem,physics,3,3.27,1.52,227.49,"electric,circuits,problem"
127,geometry theorems proof solve step by step,math,7,2.86,1.03,187.65,"geometry,theorems,proof,solve,step"
128,acid base titration detailed explanation with example,chemistry,7,0.95,1.58,110.0,"acid,base,titration,detailed,explanation,with,example"
129,recursion tree problem detailed explanation,cs,5,3.44,0.98,219.26,"recursion,tree,problem,detailed,explanation"
130,graph theory shortest path show steps,cs,6,2.62,2.12,203.12,"graph,theory,shortest,path,show,steps"
131,electric circuits problem,physics,3,0.88,2.43,115.24,"electric,circuits,problem"
132,differential equations solve,math,3,2.08,1.41,162.65,"differential,equations,solve"
133,dynamic programming example,cs,3,1.91,2.44,167.07,"dynamic,programming,example"
134,graph theory shortest path detailed explanation,cs,6,3.08,1.26,207.53,"graph,theory,shortest,path,detailed,explanation"
135,data structures stack queue,cs,4,2.35,0.97,168.59,"data,structures,stack,queue"
136,stoichiometry titration problem explain detailed explanation,chemistry,6,2.78,1.91,201.21,"stoichiometry,titration,problem,explain,detailed,explanation"
137,thermodynamics law application,physics,3,0.64,2.09,95.67,"thermodynamics,law,application"
138,periodic trends question,chemistry,3,1.23,1.32,117.54,"periodic,trends,question"
139,optics refraction question,physics,3,0.74,2.24,110.19,"optics,refraction,question"
140,electric circuits problem explain with example,physics,6,1.26,1.01,105.39,"electric,circuits,problem,explain,with,example"
141,sorting algorithm explanation with example explain,cs,6,3.34,2.48,244.58,"sorting,algorithm,explanation,with,example,explain"
142,sorting algorithm explanation detailed explanation,cs,5,1.1,1.27,110.06,"sorting,algorithm,explanation,detailed"
143,electric circuits problem solve step by step solve step by step,physics,11,2.6,0.54,189.4,"electric,circuits,problem,solve,step"
144,sorting algorithm explanation,cs,3,2.2,1.87,178.29,"sorting,algorithm,explanation"
145,linear algebra matrix with example detailed explanation,math,7,1.36,2.1,146.14,"linear,algebra,matrix,with,example,detailed,explanation"
146,stoichiometry titration problem explain solve step by step,chemistry,8,2.77,2.03,218.72,"stoichiometry,titration,problem,explain,solve,step"
147,mechanics motion problem show steps solve step by step,physics,9,1.82,1.66,166.85,"mechanics,motion,problem,show,steps,solve,step"
148,geometry theorems proof show steps,math,5,1.03,0.76,97.49,"geometry,theorems,proof,show,steps"
149,acid base titration detailed explanation detailed explanation,chemistry,7,1.27,2.15,140.14,"acid,base,titration,detailed,explanation"
150,chemical bonding explanation,chemistry,3,1.9,0.65,139.08,"chemical,bonding,explanation"
151,electric circuits problem solve step by step show steps,physics,9,0.54,1.57,95.5,"electric,circuits,problem,solve,step,show,steps"
152,acid base titration detailed explanation,chemistry,5,3.32,0.72,205.08,"acid,base,titration,detailed,explanation"
153,linear algebra matrix solve step by step show steps,math,9,2.44,1.77,194.69,"linear,algebra,matrix,solve,step,show,steps"
154,periodic trends question,chemistry,3,0.92,2.39,115.89,"periodic,trends,question"
155,graph theory shortest path,cs,4,1.2,1.58,117.37,"graph,theory,shortest,path"
156,acid base titration with example,chemistry,5,2.68,2.27,212.5,"acid,base,titration,with,example"
157,data structures stack queue detailed explanation,cs,6,1.34,1.88,130.95,"data,structures,stack,queue,detailed,explanation"
158,dynamic programming example explain,cs,4,2.56,1.59,197.36,"dynamic,programming,example,explain"
159,organic reaction mechanism solve step by step,chemistry,7,3.4,2.4,258.48,"organic,reaction,mechanism,solve,step"
160,algebra equation solving show steps detailed explanation,math,7,0.65,1.17,99.68,"algebra,equation,solving,show,steps,detailed,explanation"
161,mechanics motion problem solve step by step solve step by step,physics,11,3.11,1.16,213.65,"mechanics,motion,problem,solve,step"
162,geometry theorems proof,math,3,3.46,1.58,236.57,"geometry,theorems,proof"
163,calculus integral problem,math,3,0.54,2.08,89.36,"calculus,integral,problem"
164,organic reaction mechanism,chemistry,3,1.3,0.75,104.42,"organic,reaction,mechanism"
165,calculus integral problem with example,math,5,1.59,1.69,142.34,"calculus,integral,problem,with,example"
166,quantum basics question,physics,3,2.68,2.32,209.58,"quantum,basics,question"
167,periodic trends question detailed explanation explain,chemistry,6,1.94,1.3,158.72,"periodic,trends,question,detailed,explanation,explain"
168,recursion tree problem,cs,3,3.2,1.14,201.77,"recursion,tree,problem"
169,thermodynamics law application show steps with example,physics,7,1.48,2.49,158.41,"thermodynamics,law,application,show,steps,with,example"
170,data structures stack queue with example show steps,cs,8,0.84,1.81,121.75,"data,structures,stack,queue,with,example,show,steps"
171,electric circuits problem detailed explanation,physics,5,1.74,2.15,157.97,"electric,circuits,problem,detailed,explanation"
172,geometry theorems proof solve step by step,math,7,1.26,2.41,148.94,"geometry,theorems,proof,solve,step"
173,graph theory shortest path,cs,4,3.0,0.69,183.73,"graph,theory,shortest,path"
174,stoichiometry titration problem explain detailed explanation,chemistry,6,2.19,1.84,176.52,"stoichiometry,titration,problem,explain,detailed,explanation"
175,graph theory shortest path show steps,cs,6,1.55,1.66,136.95,"graph,theory,shortest,path,show,steps"
176,dynamic programming example,cs,3,1.55,1.61,128.0,"dynamic,programming,example"
177,acid base titration,chemistry,3,2.92,2.19,225.29,"acid,base,titration"
178,linear algebra matrix detailed explanation solve step by step,math,9,1.04,1.91,124.38,"linear,algebra,matrix,detailed,explanation,solve,step"
179,chemical bonding explanation,chemistry,3,1.04,0.79,96.95,"chemical,bonding,explanation"
180,algebra equation solving show steps explain,math,6,2.74,0.93,186.0,"algebra,equation,solving,show,steps,explain"
181,stoichiometry titration problem solve step by step,chemistry,7,1.47,2.38,157.02,"stoichiometry,titration,problem,solve,step"
182,algebra equation solving,math,3,2.76,0.6,167.63,"algebra,equation,solving"
183,recursion tree problem show steps,cs,5,1.74,0.93,135.85,"recursion,tree,problem,show,steps"
184,periodic trends question,chemistry,3,1.35,1.86,130.43,"periodic,trends,question"
185,organic reaction mechanism,chemistry,3,1.69,1.7,134.65,"organic,reaction,mechanism"
186,stoichiometry titration problem,chemistry,3,2.79,1.08,179.5,"stoichiometry,titration,problem"
187,recursion tree problem,cs,3,0.89,1.57,96.5,"recursion,tree,problem"
188,organic reaction mechanism detailed explanation,chemistry,5,0.63,0.54,80.72,"organic,reaction,mechanism,detailed,explanation"
189,acid base titration with example,chemistry,5,2.63,1.34,180.6,"acid,base,titration,with,example"
190,geometry theorems proof,math,3,2.9,1.74,212.44,"geometry,theorems,proof"
191,organic reaction mechanism detailed explanation,chemistry,5,1.23,1.68,125.58,"organic,reaction,mechanism,detailed,explanation"
192,sorting algorithm explanation solve step by step solve step by step,cs,11,1.0,1.52,114.68,"sorting,algorithm,explanation,solve,step"
193,thermodynamics law application show steps,physics,5,2.96,2.13,215.33,"thermodynamics,law,application,show,steps"
194,thermodynamics law application,physics,3,1.02,0.81,98.38,"thermodynamics,law,application"
195,algebra equation solving with example show steps,math,7,2.78,1.4,209.48,"algebra,equation,solving,with,example,show,steps"
196,chemical bonding explanation,chemistry,3,1.82,1.44,148.43,"chemical,bonding,explanation"
197,acid base titration,chemistry,3,1.56,0.65,116.23,"acid,base,titration"
198,calculus integral problem detailed explanation,math,5,0.73,2.23,118.21,"calculus,integral,problem,detailed,explanation"
199,recursion tree problem with example show steps,cs,7,3.19,1.4,227.7,"recursion,tree,problem,with,example,show,steps"
200,thermodynamics law application with example explain,physics,6,0.69,0.71,88.68,"thermodynamics,law,application,with,example,explain"
201,organic reaction mechanism show steps explain,chemistry,6,2.62,2.48,213.08,"organic,reaction,mechanism,show,steps,explain"
202,thermodynamics law application detailed explanation,physics,5,1.66,2.05,157.58,"thermodynamics,law,application,detailed,explanation"
203,geometry theorems proof,math,3,1.49,1.62,130.63,"geometry,theorems,proof"
204,acid base titration,chemistry,3,1.5,1.67,127.23,"acid,base,titration"
205,chemical bonding explanation show steps solve step by step,chemistry,9,2.29,2.38,196.29,"chemical,bonding,explanation,show,steps,solve,step"
206,sorting algorithm explanation,cs,3,2.51,2.16,199.48,"sorting,algorithm,explanation"
207,differential equations solve solve step by step solve step by step,math,11,1.04,0.93,121.55,"differential,equations,solve,step"
208,dynamic programming example,cs,3,3.5,0.81,213.12,"dynamic,programming,example"
209,linear algebra matrix detailed explanation detailed explanation,math,7,0.61,1.17,93.23,"linear,algebra,matrix,detailed,explanation"
210,quantum basics question explain,physics,4,1.04,1.89,120.29,"quantum,basics,question,explain"
211,electric circuits problem,physics,3,1.73,1.85,144.25,"electric,circuits,problem"
212,data structures stack queue show steps,cs,6,2.85,0.97,188.68,"data,structures,stack,queue,show,steps"
213,dynamic programming example show steps,cs,5,2.21,1.38,173.49,"dynamic,programming,example,show,steps"
214,data structures stack queue with example explain,cs,7,1.1,1.71,130.66,"data,structures,stack,queue,with,example,explain"
215,differential equations solve with example,math,5,0.81,2.19,121.32,"differential,equations,solve,with,example"
216,organic reaction mechanism,chemistry,3,1.32,2.31,131.15,"organic,reaction,mechanism"
217,graph theory shortest path,cs,4,2.95,2.27,229.51,"graph,theory,shortest,path"
218,graph theory shortest path with example,cs,6,1.21,2.49,139.8,"graph,theory,shortest,path,with,example"
219,geometry theorems proof,math,3,3.02,1.8,218.83,"geometry,theorems,proof"
220,mechanics motion problem detailed explanation,physics,5,1.92,2.16,174.38,"mechanics,motion,problem,detailed,explanation"
221,recursion tree problem explain explain,cs,5,1.27,2.17,137.88,"recursion,tree,problem,explain"
222,graph theory shortest path solve step by step,cs,8,0.87,0.98,101.88,"graph,theory,shortest,path,solve,step"
223,graph theory shortest path,cs,4,3.01,1.5,209.22,"graph,theory,shortest,path"
224,optics refraction question with example,physics,5,2.34,0.98,164.93,"optics,refraction,question,with,example"
225,linear algebra matrix explain,math,4,2.08,1.51,171.97,"linear,algebra,matrix,explain"
226,differential equations solve explain,math,4,1.66,1.25,140.95,"differential,equations,solve,explain"
227,organic reaction mechanism solve step by step,chemistry,7,2.47,0.71,173.34,"organic,reaction,mechanism,solve,step"
228,stoichiometry titration problem,chemistry,3,1.56,1.18,130.46,"stoichiometry,titration,problem"
229,recursion tree problem explain explain,cs,5,2.65,2.39,201.04,"recursion,tree,problem,explain"
230,mechanics motion problem,physics,3,3.16,1.13,202.8,"mechanics,motion,problem"
231,data structures stack queue solve step by step,cs,8,2.76,0.88,188.74,"data,structures,stack,queue,solve,step"
232,geometry theorems proof explain,math,4,1.6,2.28,158.47,"geometry,theorems,proof,explain"
233,sorting algorithm explanation,cs,3,1.99,1.5,163.99,"sorting,algorithm,explanation"
234,organic reaction mechanism with example with example,chemistry,7,3.49,0.86,221.58,"organic,reaction,mechanism,with,example"
235,calculus integral problem show steps,math,5,1.42,1.71,133.72,"calculus,integral,problem,show,steps"
236,sorting algorithm explanation explain,cs,4,3.11,1.21,217.66,"sorting,algorithm,explanation,explain"
237,organic reaction mechanism,chemistry,3,2.51,1.31,177.96,"organic,reaction,mechanism"
238,mechanics motion problem,physics,3,3.05,1.86,214.46,"mechanics,motion,problem"
239,mechanics motion problem,physics,3,2.84,1.23,190.26,"mechanics,motion,problem"
240,linear algebra matrix,math,3,2.54,2.4,198.44,"linear,algebra,matrix"
241,linear algebra matrix,math,3,2.09,1.3,159.49,"linear,algebra,matrix"
242,mechanics motion problem,physics,3,2.71,1.5,189.24,"mechanics,motion,problem"
243,geometry theorems proof show steps,math,5,1.14,1.72,125.28,"geometry,theorems,proof,show,steps"
244,dynamic programming example,cs,3,0.91,0.65,77.95,"dynamic,programming,example"
245,graph theory shortest path detailed explanation detailed explanation,cs,8,2.5,1.92,200.4,"graph,theory,shortest,path,detailed,explanation"
246,chemical bonding explanation,chemistry,3,2.64,2.35,207.75,"chemical,bonding,explanation"
247,acid base titration,chemistry,3,0.86,0.9,79.78,"acid,base,titration"
248,graph theory shortest path with example,cs,6,1.61,2.11,155.73,"graph,theory,shortest,path,with,example"
249,calculus integral problem solve step by step,math,7,2.65,1.46,193.92,"calculus,integral,problem,solve,step"
250,data structures stack queue,cs,4,0.88,1.13,86.08,"data,structures,stack,queue"
251,data structures stack queue explain,cs,5,2.99,1.6,213.26,"data,structures,stack,queue,explain"
252,electric circuits problem detailed explanation explain,physics,6,0.87,0.81,84.99,"electric,circuits,problem,detailed,explanation,explain"
253,stoichiometry titration problem detailed explanation,chemistry,5,2.06,1.07,145.98,"stoichiometry,titration,problem,detailed,explanation"
254,quantum basics question explain,physics,4,1.41,1.57,129.95,"quantum,basics,question,explain"
255,quantum basics question explain show steps,physics,6,2.66,1.71,206.05,"quantum,basics,question,explain,show,steps"
256,calculus integral problem,math,3,0.64,1.78,95.14,"calculus,integral,problem"
257,quantum basics question show steps,physics,5,0.59,2.28,106.01,"quantum,basics,question,show,steps"
258,periodic trends question,chemistry,3,2.91,1.87,204.85,"periodic,trends,question"
259,calculus integral problem,math,3,1.82,1.47,140.48,"calculus,integral,problem"
260,thermodynamics law application solve step by step detailed explanation,physics,9,1.54,1.3,146.21,"thermodynamics,law,application,solve,step,detailed,explanation"
261,geometry theorems proof,math,3,1.9,1.03,136.56,"geometry,theorems,proof"
262,calculus integral problem detailed explanation,math,5,3.09,1.34,220.55,"calculus,integral,problem,detailed,explanation"
263,thermodynamics law application show steps explain,physics,6,0.98,2.49,130.14,"thermodynamics,law,application,show,steps,explain"
264,periodic trends question,chemistry,3,0.77,1.29,89.44,"periodic,trends,question"
265,optics refraction question solve step by step explain,physics,8,1.98,2.26,183.29,"optics,refraction,question,solve,step,explain"
266,sorting algorithm explanation explain explain,cs,5,0.9,1.03,92.92,"sorting,algorithm,explanation,explain"
267,sorting algorithm explanation,cs,3,1.7,1.64,137.69,"sorting,algorithm,explanation"
268,organic reaction mechanism with example,chemistry,5,2.79,1.06,200.48,"organic,reaction,mechanism,with,example"
269,algebra equation solving,math,3,1.68,2.09,148.58,"algebra,equation,solving"
270,stoichiometry titration problem,chemistry,3,2.31,1.3,158.31,"stoichiometry,titration,problem"
271,algebra equation solving solve step by step with example,math,9,1.87,1.71,166.01,"algebra,equation,solving,solve,step,with,example"
272,acid base titration explain,chemistry,4,3.47,1.98,237.08,"acid,base,titration,explain"
273,acid base titration with example show steps,chemistry,7,1.4,2.13,143.97,"acid,base,titration,with,example,show,steps"
274,differential equations solve solve step by step detailed explanation,math,9,3.12,1.76,231.14,"differential,equations,solve,step,detailed,explanation"
275,acid base titration solve step by step explain,chemistry,8,1.94,1.55,168.42,"acid,base,titration,solve,step,explain"
276,dynamic programming example solve step by step with example,cs,9,2.6,0.88,184.42,"dynamic,programming,example,solve,step,with"
277,dynamic programming example show steps,cs,5,1.73,2.05,165.91,"dynamic,programming,example,show,steps"
278,algebra equation solving solve step by step solve step by step,math,11,2.49,1.55,193.78,"algebra,equation,solving,solve,step"
279,electric circuits problem solve step by step solve step by step,physics,11,2.82,1.94,224.67,"electric,circuits,problem,solve,step"
280,acid base titration explain,chemistry,4,1.24,1.62,116.9,"acid,base,titration,explain"
281,chemical bonding explanation solve step by step show steps,chemistry,9,1.45,1.2,143.17,"chemical,bonding,explanation,solve,step,show,steps"
282,chemical bonding explanation,chemistry,3,2.22,1.59,176.72,"chemical,bonding,explanation"
283,sorting algorithm explanation,cs,3,1.37,1.08,120.38,"sorting,algorithm,explanation"
284,periodic trends question solve step by step with example,chemistry,9,1.11,1.58,133.76,"periodic,trends,question,solve,step,with,example"
285,stoichiometry titration problem,chemistry,3,2.35,1.67,171.75,"stoichiometry,titration,problem"
286,optics refraction question,physics,3,0.8,1.16,88.65,"optics,refraction,question"
287,mechanics motion problem detailed explanation explain,physics,6,2.46,2.26,199.71,"mechanics,motion,problem,detailed,explanation,explain"
288,thermodynamics law application solve step by step,physics,7,0.68,2.04,111.85,"thermodynamics,law,application,solve,step"
289,quantum basics question show steps detailed explanation,physics,7,3.24,0.85,220.64,"quantum,basics,question,show,steps,detailed,explanation"
290,mechanics motion problem show steps,physics,5,1.06,2.0,130.45,"mechanics,motion,problem,show,steps"
291,organic reaction mechanism,chemistry,3,1.4,1.71,138.77,"organic,reaction,mechanism"
292,chemical bonding explanation detailed explanation,chemistry,5,2.13,1.49,175.07,"chemical,bonding,explanation,detailed"
293,sorting algorithm explanation,cs,3,2.93,1.16,200.32,"sorting,algorithm,explanation"
